time,ACB,BCM,BID,BMP,BSR,BVH,CII,CTD,CTG,DGC,DHG,DPM,EIB,FPT,GAS,GMD,GVR,HDB,HPG,HSG,KDC,KDH,LPB,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,REE,ROS,SAB,SBT,SHB,SSB,SSI,STB,TCB,TCH,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VPL,VRE
2019-01-02 07:00:00,5.59,21.58,18.27,24.52,7.71,74.8,19.06,97.39,8.7,10.0,52.25,7.1,9.1,12.85,51.64,17.15,8.21,5.58,7.29,2.99,19.5,13.69,3.09,5.08,63.68,26.52,33.47,8.15,41.87,29.57,,12.83,,93.18,13.27,2.33,,8.38,11.6,11.84,8.34,5.66,22.96,51.57,3.22,44.62,89.21,70.94,6.21,,27.02
2019-01-03 07:00:00,5.38,19.78,17.46,23.8,7.54,74.96,18.47,97.09,8.29,9.66,50.4,6.77,9.07,12.72,50.39,16.57,8.13,5.58,6.98,2.9,18.77,13.69,3.02,4.86,63.19,25.75,32.7,8.09,41.25,28.6,,12.56,,91.94,12.95,2.27,,8.22,11.1,11.57,8.37,5.53,22.96,51.36,3.17,44.57,88.6,70.31,6.08,,25.98
2019-01-04 07:00:00,5.42,20.41,17.21,23.62,7.54,74.46,18.69,97.09,8.4,9.87,50.4,6.97,9.13,12.82,50.27,16.6,8.13,5.74,7.03,2.86,18.69,13.69,2.99,4.88,61.73,25.93,32.8,8.14,42.25,28.93,,12.47,,91.08,12.98,2.27,,8.22,11.15,11.54,8.27,5.52,23.3,51.92,3.18,44.71,87.69,71.51,6.07,,25.8
2019-01-07 07:00:00,5.49,20.32,17.62,23.82,7.54,74.46,18.69,97.39,8.31,9.87,51.43,7.03,9.1,13.04,51.34,16.7,7.78,5.72,6.95,2.97,18.69,13.67,2.96,4.98,63.35,26.37,32.18,8.09,42.48,29.38,,12.64,,91.38,13.14,2.33,,8.23,11.5,11.61,8.25,5.57,23.39,52.06,3.2,44.88,88.45,74.95,6.16,,26.17
2019-01-08 07:00:00,5.45,20.41,17.46,23.75,7.54,74.12,17.96,97.33,8.2,9.84,51.29,6.89,9.1,13.1,52.53,16.66,7.95,5.64,6.83,2.98,18.6,13.67,3.02,4.95,64.0,26.06,29.94,8.09,41.64,29.25,,12.56,,91.38,13.18,2.27,,8.12,11.35,11.61,8.17,5.59,23.56,52.06,3.22,44.88,87.69,74.37,6.13,,25.89
2019-01-09 07:00:00,5.55,20.86,18.0,24.23,7.71,74.8,18.4,97.39,8.4,9.89,51.77,6.9,9.49,13.22,53.48,16.82,8.13,5.72,6.98,3.1,18.73,13.58,2.99,5.08,64.0,26.49,30.52,8.09,41.71,29.41,,12.81,,91.38,13.24,2.33,,8.14,11.4,11.94,8.13,5.84,23.9,52.06,3.22,45.11,87.69,75.46,6.13,,27.25
2019-01-10 07:00:00,5.53,20.59,17.73,24.57,7.65,75.22,18.22,97.39,8.63,10.0,53.14,6.95,9.49,13.14,54.31,16.82,8.04,5.74,7.06,3.18,18.6,13.54,2.99,5.08,64.97,26.68,30.72,8.38,42.41,29.67,,13.02,,89.88,13.27,2.27,,8.07,11.4,11.94,8.15,5.91,23.56,52.34,3.2,45.06,87.69,75.35,6.15,,27.62
2019-01-11 07:00:00,5.53,20.41,17.4,24.47,7.82,75.97,18.11,96.48,8.61,10.23,54.79,6.89,9.42,13.16,54.13,16.7,8.13,5.78,6.95,3.1,18.52,13.4,2.99,5.05,65.38,26.37,30.78,8.35,42.56,29.73,,13.18,,89.88,13.47,2.27,,8.26,11.4,12.03,8.27,5.93,23.64,53.74,3.18,45.06,89.21,76.66,6.11,,28.05
2019-01-14 07:00:00,5.49,20.14,17.4,24.28,7.65,74.38,17.7,94.96,8.61,10.25,55.54,6.87,9.42,13.25,53.24,16.89,8.13,5.76,6.94,3.13,18.52,13.25,2.96,4.99,65.22,26.37,30.15,8.27,42.25,29.54,12.32,13.1,,89.88,13.5,2.27,,8.15,11.2,11.96,8.22,6.25,23.69,54.23,3.2,45.06,89.59,77.24,6.1,,28.47
2019-01-15 07:00:00,5.57,19.96,17.73,24.42,7.71,74.54,17.81,94.04,8.66,10.0,55.54,7.1,9.55,13.35,53.72,17.22,8.13,5.78,6.94,3.18,18.28,13.21,2.99,5.12,66.35,26.58,30.15,8.28,42.56,29.54,12.4,13.44,,89.73,13.61,2.3,,8.22,11.3,12.26,8.25,5.98,23.94,56.06,3.18,45.11,89.36,77.18,6.16,,29.08
