,Equal-weight,Market-cap-weight,Black-Litterman
LPB,0.03333333333333333,0.024497314892451088,0.09299
FPT,0.03333333333333333,0.0191787018954553,0.01656
TPB,0.03333333333333333,0.0071758992657114905,0.0062
MBB,0.03333333333333333,0.032032475327004206,0.02766
VIC,0.03333333333333333,0.25928845820135893,0.3423
VPB,0.03333333333333333,0.033940286991989754,0.0293
ACB,0.03333333333333333,0.020303686998297734,0.01753
BSR,0.03333333333333333,0.01968063461240592,0.01699
VHM,0.03333333333333333,0.09432503252104889,0.02777
BID,0.03333333333333333,0.048401202583038795,0.04179
GAS,0.03333333333333333,0.029066357351512553,0.0251
STB,0.03333333333333333,0.0213117866438464,0.0184
VCB,0.03333333333333333,0.08129612041826666,0.07019
HPG,0.03333333333333333,0.030576342773749026,0.0264
MWG,0.03333333333333333,0.01814216234019474,0.01566
SHB,0.03333333333333333,0.010142371017753941,0.00876
VJC,0.03333333333333333,0.016545415580980643,0.01429
VPL,0.03333333333333333,0.024426956105457323,0.02109
VIB,0.03333333333333333,0.008726620602275331,0.00753
SAB,0.03333333333333333,0.009576850323094443,0.00827
SSB,0.03333333333333333,0.008737231140731959,0.00754
SSI,0.03333333333333333,0.010506239505689127,0.00907
HDB,0.03333333333333333,0.02056162441818594,0.01775
CTG,0.03333333333333333,0.04126257998107597,0.03563
PLX,0.03333333333333333,0.007348619248423205,0.00634
GVR,0.03333333333333333,0.020478175053045465,0.01768
MSN,0.03333333333333333,0.017186216272677256,0.01484
TCB,0.03333333333333333,0.03753684176575345,0.03241
VNM,0.03333333333333333,0.017816559085662213,0.01538
VRE,0.03333333333333333,0.009931237082862244,0.00857
