,equal,market_cap,markowitz,black_litterman
2021-01-01,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0
2021-10-01,-0.030542201997937612,-0.07837396477892951,-0.1208326952410551,-0.10079151789298545
2022-01-01,0.0,-0.010782949500584102,-0.06098368362989996,-0.018350401018610824
2022-04-01,-0.013856938910357065,-0.044284737891542504,-0.15543460171905346,-0.05368294045021086
2022-07-01,-0.1944979811572463,-0.20873687158778026,-0.34377143073715183,-0.2008891555998139
2022-10-01,-0.24502745144951557,-0.26078451468841585,-0.3485402607800275,-0.2528640795414244
2023-01-01,-0.29869066257155746,-0.304833534123544,-0.6777332552061252,-0.2743730288903814
2023-04-01,-0.2724600268311471,-0.2799805081053608,-0.6825389288138395,-0.2514929194726151
2023-07-01,-0.24526448383148625,-0.27070846414587924,-0.6730250456067143,-0.24892072002783255
2023-10-01,-0.21453530508722227,-0.2551917959771049,-0.6753837819770258,-0.23034737281274123
2024-01-01,-0.237054039044521,-0.28061066279412067,-0.6863841122086289,-0.2676143142019232
2024-04-01,-0.13219136294921516,-0.17675402953221728,-0.6237994573956627,-0.16141849026228516
2024-07-01,-0.141078935021903,-0.2104542467224008,-0.5684795787056733,-0.16658015832339657
2024-10-01,-0.09525932586292589,-0.16045577405946063,-0.5489431129638692,-0.1223277852362335
2025-01-01,-0.11977814513113623,-0.18302989054498875,-0.4993583176840573,-0.11925514313700511
2025-04-01,-0.0834578729724189,-0.15007310496327328,-0.5858946556063028,-0.1512248703447427
2025-07-01,-0.04075925417233966,-0.10316723047169848,-0.5758329174650871,-0.11472685477938821
2025-10-01,0.0,0.0,-0.3867598939667051,0.0
2026-01-01,0.0,0.0,-0.2256526918470103,0.0
2026-04-01,-0.05253756618517724,-0.09019446140266846,-0.3227591233797346,-0.1511869056368271
2026-07-01,0.0,0.0,-0.03129313686378415,0.0
