effective_date,action,symbol,source_url
2026-05-13,ADD,BSR,https://vietstock.vn/2026/05/dgc-bi-loai-khoi-vn30-bsr-thay-the-830-1439738.htm
2026-05-13,REMOVE,DGC,https://vietstock.vn/2026/05/dgc-bi-loai-khoi-vn30-bsr-thay-the-830-1439738.htm
2026-02-02,ADD,VPL,https://vietstock.vn/2026/01/dao-danh-muc-vn30-ky-thang-12026-vpl-gia-nhap-bcm-bi-loai-ra-3358-1393781.htm
2026-02-02,REMOVE,BCM,https://vietstock.vn/2026/01/dao-danh-muc-vn30-ky-thang-12026-vpl-gia-nhap-bcm-bi-loai-ra-3358-1393781.htm
2025-08-04,ADD,DGC,https://vietstock.vn/2025/07/dao-danh-muc-vn30-ky-thang-72025-them-dgc-loai-bvh-3358-1329029.htm
2025-08-04,REMOVE,BVH,https://vietstock.vn/2025/07/dao-danh-muc-vn30-ky-thang-72025-them-dgc-loai-bvh-3358-1329029.htm
2025-02-03,ADD,LPB,https://vietstock.vn/2025/01/dao-danh-muc-vn30-ky-thang-12025-lpb-the-cho-pow-3358-1263849.htm
2025-02-03,REMOVE,POW,https://vietstock.vn/2025/01/dao-danh-muc-vn30-ky-thang-12025-lpb-the-cho-pow-3358-1263849.htm
2024-08-05,NO_CHANGE,N/A,https://vietstock.vn/2024/07/dao-danh-muc-vn30-ky-thang-72024-khong-co-thay-doi-trong-ro-chi-so-chinh-nvl-vao-danh-sach-du-phong-3358-1208140.htm
2024-02-05,NO_CHANGE,N/A,https://vietstock.vn/2024/01/dao-danh-muc-vn30-ky-thang-12024-khong-co-thay-doi-trong-ro-chi-so-chinh-3358-1145998.htm
2023-08-07,ADD,SHB,https://vietstock.vn/2023/07/dao-danh-muc-vn30-them-2-ma-ngan-hang-shb-ssb-830-1088399.htm
2023-08-07,ADD,SSB,https://vietstock.vn/2023/07/dao-danh-muc-vn30-them-2-ma-ngan-hang-shb-ssb-830-1088399.htm
2023-08-07,REMOVE,NVL,https://vietstock.vn/2023/07/dao-danh-muc-vn30-them-2-ma-ngan-hang-shb-ssb-830-1088399.htm
2023-08-07,REMOVE,PDR,https://vietstock.vn/2023/07/dao-danh-muc-vn30-them-2-ma-ngan-hang-shb-ssb-830-1088399.htm
2023-02-06,ADD,BCM,https://vietstock.vn/2023/01/dao-danh-muc-vn30-thang-12023-them-bcm-loai-kdh-3358-1031504.htm
2023-02-06,REMOVE,KDH,https://vietstock.vn/2023/01/dao-danh-muc-vn30-thang-12023-them-bcm-loai-kdh-3358-1031504.htm
2022-08-01,ADD,VIB,https://vietstock.vn/2022/07/dao-danh-muc-vn30-loai-pnj-them-moi-vib-830-981812.htm
2022-08-01,REMOVE,PNJ,https://vietstock.vn/2022/07/dao-danh-muc-vn30-loai-pnj-them-moi-vib-830-981812.htm
2022-02-07,NO_CHANGE,N/A,https://vietstock.vn/2022/01/dao-vn30-ky-thang-12022-giu-nguyen-danh-muc-830-925174.htm
2021-08-02,ADD,ACB,https://vietstock.vn/2021/07/dao-danh-muc-vn30-them-acb-sab-gvr-830-876138.htm
2021-08-02,ADD,SAB,https://vietstock.vn/2021/07/dao-danh-muc-vn30-them-acb-sab-gvr-830-876138.htm
2021-08-02,ADD,GVR,https://vietstock.vn/2021/07/dao-danh-muc-vn30-them-acb-sab-gvr-830-876138.htm
2021-08-02,REMOVE,TCH,https://vietstock.vn/2021/07/dao-danh-muc-vn30-them-acb-sab-gvr-830-876138.htm
2021-08-02,REMOVE,SBT,https://vietstock.vn/2021/07/dao-danh-muc-vn30-them-acb-sab-gvr-830-876138.htm
2021-08-02,REMOVE,REE,https://vietstock.vn/2021/07/dao-danh-muc-vn30-them-acb-sab-gvr-830-876138.htm
2021-02-01,ADD,BVH,https://vietstock.vn/2021/01/dao-danh-muc-vn30-khong-con-co-phieu-8216gia-tra-da8217-830-820048.htm
2021-02-01,ADD,PDR,https://vietstock.vn/2021/01/dao-danh-muc-vn30-khong-con-co-phieu-8216gia-tra-da8217-830-820048.htm
2021-02-01,ADD,TPB,https://vietstock.vn/2021/01/dao-danh-muc-vn30-khong-con-co-phieu-8216gia-tra-da8217-830-820048.htm
2021-02-01,REMOVE,ROS,https://vietstock.vn/2021/01/dao-danh-muc-vn30-khong-con-co-phieu-8216gia-tra-da8217-830-820048.htm
2021-02-01,REMOVE,SAB,https://vietstock.vn/2021/01/dao-danh-muc-vn30-khong-con-co-phieu-8216gia-tra-da8217-830-820048.htm
2021-02-01,REMOVE,EIB,https://vietstock.vn/2021/01/dao-danh-muc-vn30-khong-con-co-phieu-8216gia-tra-da8217-830-820048.htm
2020-08-03,ADD,KDH,https://vietstock.vn/2020/07/dao-danh-muc-vn30-ky-thang-72020-them-tch-va-kdh-830-777625.htm
2020-08-03,ADD,TCH,https://vietstock.vn/2020/07/dao-danh-muc-vn30-ky-thang-72020-them-tch-va-kdh-830-777625.htm
2020-08-03,REMOVE,BVH,https://vietstock.vn/2020/07/dao-danh-muc-vn30-ky-thang-72020-them-tch-va-kdh-830-777625.htm
2020-08-03,REMOVE,CTD,https://vietstock.vn/2020/07/dao-danh-muc-vn30-ky-thang-72020-them-tch-va-kdh-830-777625.htm
2020-02-03,ADD,PLX,https://vietstock.vn/2020/01/dao-danh-muc-vn30-ky-thang-12020-hai-co-phieu-ho-dau-khi-duoc-them-vao-830-725834.htm
2020-02-03,ADD,POW,https://vietstock.vn/2020/01/dao-danh-muc-vn30-ky-thang-12020-hai-co-phieu-ho-dau-khi-duoc-them-vao-830-725834.htm
2020-02-03,REMOVE,DPM,https://vietstock.vn/2020/01/dao-danh-muc-vn30-ky-thang-12020-hai-co-phieu-ho-dau-khi-duoc-them-vao-830-725834.htm
2020-02-03,REMOVE,GMD,https://vietstock.vn/2020/01/dao-danh-muc-vn30-ky-thang-12020-hai-co-phieu-ho-dau-khi-duoc-them-vao-830-725834.htm
2019-08-05,ADD,BID,https://vietstock.vn/2019/07/dao-danh-muc-vn30-bid-bvh-thaay-the-cii-va-dhg-830-690674.htm
2019-08-05,ADD,BVH,https://vietstock.vn/2019/07/dao-danh-muc-vn30-bid-bvh-thaay-the-cii-va-dhg-830-690674.htm
2019-08-05,REMOVE,CII,https://vietstock.vn/2019/07/dao-danh-muc-vn30-bid-bvh-thaay-the-cii-va-dhg-830-690674.htm
2019-08-05,REMOVE,DHG,https://vietstock.vn/2019/07/dao-danh-muc-vn30-bid-bvh-thaay-the-cii-va-dhg-830-690674.htm
2019-02-11,ADD,VHM,https://vietstock.vn/2019/01/dao-danh-muc-vn30-them-moi-eib-hdb-tcb-va-vhm-830-649313.htm
2019-02-11,ADD,EIB,https://vietstock.vn/2019/01/dao-danh-muc-vn30-them-moi-eib-hdb-tcb-va-vhm-830-649313.htm
2019-02-11,ADD,HDB,https://vietstock.vn/2019/01/dao-danh-muc-vn30-them-moi-eib-hdb-tcb-va-vhm-830-649313.htm
2019-02-11,ADD,TCB,https://vietstock.vn/2019/01/dao-danh-muc-vn30-them-moi-eib-hdb-tcb-va-vhm-830-649313.htm
2019-02-11,REMOVE,BMP,https://vietstock.vn/2019/01/dao-danh-muc-vn30-them-moi-eib-hdb-tcb-va-vhm-830-649313.htm
2019-02-11,REMOVE,HSG,https://vietstock.vn/2019/01/dao-danh-muc-vn30-them-moi-eib-hdb-tcb-va-vhm-830-649313.htm
2019-02-11,REMOVE,KDC,https://vietstock.vn/2019/01/dao-danh-muc-vn30-them-moi-eib-hdb-tcb-va-vhm-830-649313.htm
2019-02-11,REMOVE,PLX,https://vietstock.vn/2019/01/dao-danh-muc-vn30-them-moi-eib-hdb-tcb-va-vhm-830-649313.htm
